origin               destination        
Admiralty            Admiralty                344.5
                     Sembawang                346.0
                     Woodlands                369.0
                     Marsiling                502.0
                     Yishun                   580.0
                     Kranji                   677.0
                     Khatib                   723.0
                     Yew Tee                 1051.0
                     Yio Chu Kang            1112.0
                     Choa Chu Kang           1249.5
                     Ang Mo Kio              1277.5
                     Bukit Gombak            1421.5
                     Bishan CCL              1520.5
                     Bishan NSEW             1575.0
                     Bukit Batok             1587.5
                     Phoenix                 1590.0
                     Braddell                1709.0
                     Teck Whye               1754.0
                     Jurong East             1810.0
                     Toa Payoh               1818.0
                     Lorong Chuan            1902.0
                     Bukit Panjang BPLRT     1942.0
                     Novena                  1966.0
                     Serangoon NEL           2008.0
                     Marymount               2067.0
                     Serangoon CCL           2096.5
                     Bartley                 2098.0
                     Jelapang                2111.0
                     Newton NSEW             2159.0
                     Fajar                   2186.0
                     Lakeside                2203.5
                     Clementi                2235.5
                     Orchard                 2256.0
                     Tai Seng                2278.0
                     Boon Lay                2297.5
                     Somerset                2318.0
                     Kovan                   2381.0
                     Dover                   2404.0
                     Pioneer                 2405.5
                     MacPherson CCL          2418.0
                     Botanic Gardens CCL     2441.5
                     Hougang                 2465.0
                     Dhoby Ghaut NSEW        2480.0
                     Dhoby Ghaut NEL         2519.0
                     Boon Keng               2525.0
                     Holland Village         2549.5
                     Buona Vista NSEW        2558.5
                     City Hall               2570.0
                     Caldecott               2575.0
                     Paya Lebar CCL          2579.5
                     Farrer Road             2585.0
                     Paya Lebar NSEW         2600.0
                     Commonwealth            2618.0
                     Chinese Garden          2630.0
                     Buona Vista CCL         2669.0
                     Raffles Place           2684.0
                     Little India NEL        2740.0
                     Joo Koon                2749.5
                     Bugis NSEW              2766.0
                     Lavender                2769.5
                     Bras Basah              2836.0
                     Mountbatten             2849.0
                     Queenstown              2865.0
                     Dakota                  2870.0
                     one-north               2872.0
                     Marina Bay              2874.0
                     Clarke Quay             2874.0
                     Kallang                 2882.0
                     Potong Pasir            2888.0
                     Tanjong Pagar           2903.0
                     Farrer Park             2926.0
                     Punggol                 2934.0
                     Esplanade               2964.0
                     Nicoll Highway          2987.0
                     Chinatown NEL           3004.0
                     Kent Ridge              3005.0
                     Stadium                 3006.5
                     Promenade               3028.0
                     Kembangan               3068.0
                     Outram Park NSEW        3068.0
                     Eunos                   3092.5
                     Tiong Bahru             3163.0
                     Redhill                 3201.5
                     Coral Edge              3254.0
                     Bayfront CCL            3261.0
                     Aljunied                3274.0
                     HarbourFront NEL        3316.0
                     Pasir Panjang           3317.5
                     Tanah Merah             3325.0
                     Outram Park NEL         3369.0
                     Chinatown DTL           3382.0
                     HarbourFront CCL        3413.0
                     Bedok                   3442.0
                     Labrador Park           3504.5
                     Expo NSEW               4077.5
                     Pasir Ris               4091.5
                     Nibong                  4155.0
                     Changi Airport          4454.0
                     Simei                   4482.0
                     Tampines NSEW           5067.0
Aljunied             Paya Lebar NSEW          289.0
                     Kallang                  320.5
                     Eunos                    418.0
                     Paya Lebar CCL           434.0
                     Lavender                 435.0
                     Bugis NSEW               569.5
                     Kembangan                600.5
                     City Hall                653.0
                     Aljunied                 794.0
                     Bedok                    794.5
                     Raffles Place            816.0
                     MacPherson CCL           823.5
                     Dhoby Ghaut NSEW         828.5
                     Tai Seng                 845.0
                     Rochor                   885.0
                     Stadium                  890.0
                     Tanjong Pagar            895.0
